,RAP,MSU1
171,Os01g0116250,None
172,Os01g0116300,LOC_Os01g02690
173,Os01g0116400,LOC_Os01g02700
174,Os01g0116600,LOC_Os01g02720
175,Os01g0116650,None
176,Os01g0116800,LOC_Os01g02730
177,Os01g0116900,LOC_Os01g02710
178,Os01g0116901,None
179,Os01g0117000,LOC_Os01g02760
180,Os01g0117025,None
181,Os01g0117050,None
182,Os01g0117100,LOC_Os01g02770
183,Os01g0117200,LOC_Os01g02780
184,Os01g0117233,None
185,Os01g0117266,LOC_Os01g02790
186,Os01g0117300,LOC_Os01g02790
187,Os01g0117400,LOC_Os01g02800
188,Os01g0117450,None
189,Os01g0117500,LOC_Os01g02810
190,Os01g0117600,LOC_Os01g02830
191,Os01g0117650,None
192,Os01g0117700,LOC_Os01g02840
193,Os01g0117800,LOC_Os01g02860
194,Os01g0117900,LOC_Os01g02870
195,Os01g0118000,LOC_Os01g02880
196,Os01g0118033,None
197,Os01g0118066,None
198,Os01g0118100,LOC_Os01g02884
199,Os01g0118300,LOC_Os01g02890
200,Os01g0118350,None
201,Os01g0118400,LOC_Os01g02900
202,Os01g0118600,LOC_Os01g02910
203,Os01g0118700,LOC_Os01g02920
204,Os01g0119000,LOC_Os01g02930
205,Os01g0119050,LOC_Os01g02940
206,Os01g0119100,LOC_Os01g02940
207,Os01g0119301,None
208,Os01g0119500,LOC_Os01g02960
209,Os01g0119700,LOC_Os01g02980
210,Os01g0119800,None
211,Os01g0120300,LOC_Os01g03020
212,Os01g0120400,LOC_Os01g03030
213,Os01g0120500,LOC_Os01g03040
214,Os01g0120600,LOC_Os01g03050
215,Os01g0120700,LOC_Os01g03060
216,Os01g0120800,LOC_Os01g03070
217,Os01g0121000,LOC_Os01g03080
218,Os01g0121100,LOC_Os01g03090
219,Os01g0121200,LOC_Os01g03100
220,Os01g0121300,LOC_Os01g03110
221,Os01g0121400,None
222,Os01g0121500,LOC_Os01g03130
223,Os01g0121600,LOC_Os01g03144
224,Os01g0121700,LOC_Os01g03144
225,Os01g0121800,LOC_Os01g03160
226,Os01g0121900,LOC_Os01g03170
227,Os01g0121925,None
228,Os01g0121950,LOC_Os01g03170
229,Os01g0122000,LOC_Os01g03180
230,Os01g0122200,LOC_Os01g03190
231,Os01g0122367,None
232,Os01g0122534,None
233,Os01g0122701,LOC_Os01g03210
234,Os01g0123100,LOC_Os01g03220
235,Os01g0123200,LOC_Os01g03260
236,Os01g0123500,LOC_Os01g03270
237,Os01g0123700,LOC_Os01g03290
238,Os01g0123800,LOC_Os01g03300
239,Os01g0123900,LOC_Os01g03310
240,Os01g0124000,LOC_Os01g03320
241,Os01g0124100,LOC_Os01g03330
242,Os01g0124200,LOC_Os01g03340
243,Os01g0124401,LOC_Os01g03360
244,Os01g0124500,LOC_Os01g03370
245,Os01g0124550,None
246,Os01g0124600,LOC_Os01g03380
247,Os01g0124650,LOC_Os01g03390
248,Os01g0124700,None
249,Os01g0124900,LOC_Os01g03400
250,Os01g0125000,LOC_Os01g03420
251,Os01g0125100,LOC_Os01g03429
252,Os01g0125500,LOC_Os01g03464
253,Os01g0125550,LOC_Os01g03480
254,Os01g0125600,LOC_Os01g03490
255,Os01g0125700,LOC_Os01g03500
256,Os01g0125800,LOC_Os01g03510
257,Os01g0125850,None
258,Os01g0125900,LOC_Os01g03520
259,Os01g0126000,None
260,Os01g0126100,LOC_Os01g03530
261,Os01g0126200,LOC_Os01g03549
262,Os01g0126401,None
263,Os01g0126600,LOC_Os01g03570
264,Os01g0126900,LOC_Os01g03620
265,Os01g0127000,LOC_Os01g03630
266,Os01g0127100,None
267,Os01g0127200,LOC_Os01g03640
268,Os01g0127300,LOC_Os01g03650
269,Os01g0127400,LOC_Os01g03660
270,Os01g0127450,LOC_Os01g03660
271,Os01g0127500,LOC_Os01g03670
272,Os01g0127600,LOC_Os01g03680
273,Os01g0127700,LOC_Os01g03690
274,Os01g0127800,None
275,Os01g0127900,LOC_Os01g03710
276,Os01g0128000,LOC_Os01g03720
277,Os01g0128100,LOC_Os01g03740
278,Os01g0128200,LOC_Os01g03730
279,Os01g0128250,None
280,Os01g0128300,LOC_Os01g03750
281,Os01g0128400,LOC_Os01g03760
282,Os01g0128700,LOC_Os01g03810
283,Os01g0128800,LOC_Os01g03820
284,Os01g0129200,LOC_Os01g03840
285,Os01g0129500,LOC_Os01g03870
286,Os01g0129550,None
287,Os01g0129600,LOC_Os01g03890
288,Os01g0129800,LOC_Os01g03900
289,Os01g0130000,LOC_Os01g03914
290,Os01g0130100,None
291,Os01g0130200,LOC_Os01g03940
292,Os01g0130400,LOC_Os01g03950
293,Os01g0130500,None
294,Os01g0130633,None
295,Os01g0130766,None
296,Os01g0130900,LOC_Os01g03980
297,Os01g0131066,LOC_Os01g03989
298,Os01g0131132,None
299,Os01g0131200,LOC_Os01g04000
300,Os01g0131250,LOC_Os01g04005
301,Os01g0131300,LOC_Os01g04010
302,Os01g0131450,None
303,Os01g0131600,LOC_Os01g04020
304,Os01g0131800,LOC_Os01g04030
305,Os01g0131900,LOC_Os01g04040
306,Os01g0132000,LOC_Os01g04050
307,Os01g0132050,None
308,Os01g0132100,LOC_Os01g04070
309,Os01g0132150,None
310,Os01g0132200,LOC_Os01g04080
311,Os01g0132400,LOC_Os01g04090
312,Os01g0132500,LOC_Os01g04100
313,Os01g0132700,LOC_Os01g04110
314,Os01g0132766,LOC_Os01g04120
315,Os01g0132800,LOC_Os01g04130
316,Os01g0132950,None
317,Os01g0133100,LOC_Os01g04160
318,Os01g0133200,LOC_Os01g04170
319,Os01g0133400,LOC_Os01g04190
320,Os01g0133500,LOC_Os01g04200
321,Os01g0133600,LOC_Os01g04210
322,Os01g0133650,None
323,Os01g0133700,LOC_Os01g04220
324,Os01g0133766,None
325,Os01g0133799,None
326,Os01g0133832,None
327,Os01g0133866,None
328,Os01g0133900,LOC_Os01g04230
329,Os01g0134200,LOC_Os01g04250
