,RAP,MSU1
1989,Os01g0343001,None
1990,Os01g0343100,LOC_Os01g24050
1991,Os01g0343200,LOC_Os01g24060
1992,Os01g0343300,LOC_Os01g24070
1993,Os01g0343350,None
1994,Os01g0343400,LOC_Os01g24080
1995,Os01g0343500,LOC_Os01g24090
1996,Os01g0343780,None
1997,Os01g0344060,None
1998,Os01g0344340,None
1999,Os01g0344620,None
2000,Os01g0344900,LOC_Os01g24240
2001,Os01g0345401,None
2002,Os01g0345900,LOC_Os01g24350
2003,Os01g0346250,LOC_Os01g24420
2004,Os01g0346400,None
2005,Os01g0346600,LOC_Os01g24430
2006,Os01g0346700,LOC_Os01g24440
2007,Os01g0346800,LOC_Os01g24450
2008,Os01g0346900,LOC_Os01g24460
2009,Os01g0347000,LOC_Os01g24470
2010,Os01g0347100,LOC_Os01g24480
2011,Os01g0347150,None
2012,Os01g0347200,LOC_Os01g24490
2013,Os01g0347300,LOC_Os01g24500
2014,Os01g0347500,LOC_Os01g24550
2015,Os01g0347600,LOC_Os01g24560
2016,Os01g0348000,LOC_Os01g24600
2017,Os01g0348150,LOC_Os01g24640
2018,Os01g0348300,LOC_Os01g24650
2019,Os01g0348600,LOC_Os01g24680
2020,Os01g0348700,LOC_Os01g24690
2021,Os01g0348800,LOC_Os01g24700
2022,Os01g0348900,LOC_Os01g24710
2023,Os01g0349000,None
2024,Os01g0349200,LOC_Os01g24730
2025,Os01g0349400,LOC_Os01g24750
2026,Os01g0349600,LOC_Os01g24764
2027,Os01g0349800,LOC_Os01g24780
2028,Os01g0350000,LOC_Os01g24790
2029,Os01g0350100,None
2030,Os01g0350200,LOC_Os01g24810
2031,Os01g0350300,LOC_Os01g24820
2032,Os01g0350400,LOC_Os01g24830
2033,Os01g0350500,LOC_Os01g24840
2034,Os01g0350900,LOC_Os01g24880
2035,Os01g0351100,LOC_Os01g24920
2036,Os01g0351200,LOC_Os01g24940
2037,Os01g0351251,None
2038,Os01g0351300,LOC_Os01g24950
2039,Os01g0351500,LOC_Os01g24960
2040,Os01g0351700,LOC_Os01g24970
2041,Os01g0351800,LOC_Os01g24980
2042,Os01g0352000,LOC_Os01g25000
2043,Os01g0352100,LOC_Os01g25010
2044,Os01g0352200,None
2045,Os01g0352300,None
2046,Os01g0352400,LOC_Os01g25030
2047,Os01g0352751,None
2048,Os01g0353100,LOC_Os01g25070
2049,Os01g0353400,LOC_Os01g25100
2050,Os01g0353501,None
2051,Os01g0353600,LOC_Os01g25110
2052,Os01g0353633,None
2053,Os01g0353900,None
2054,Os01g0354100,LOC_Os01g25160
2055,Os01g0354150,LOC_Os01g25170
2056,Os01g0354175,None
2057,Os01g0354200,LOC_Os01g25189
2058,Os01g0354450,None
2059,Os01g0354700,LOC_Os01g25240
2060,Os01g0355100,LOC_Os01g25270
2061,Os01g0355175,None
2062,Os01g0355250,LOC_Os01g25280
2063,Os01g0355400,LOC_Os01g25300
2064,Os01g0355500,LOC_Os01g25320
2065,Os01g0355600,LOC_Os01g25330
2066,Os01g0355700,LOC_Os01g25340
2067,Os01g0355800,LOC_Os01g25360
2068,Os01g0355900,LOC_Os01g25370
2069,Os01g0356400,LOC_Os01g25386
2070,Os01g0356450,None
2071,Os01g0356500,LOC_Os01g25440
2072,Os01g0356800,LOC_Os01g25450
2073,Os01g0356900,LOC_Os01g25460
2074,Os01g0356951,None
2075,Os01g0357100,LOC_Os01g25484
2076,Os01g0357150,None
2077,Os01g0357200,LOC_Os01g25500
2078,Os01g0357400,LOC_Os01g25510
2079,Os01g0357500,LOC_Os01g25520
2080,Os01g0357800,LOC_Os01g25530
2081,Os01g0357900,LOC_Os01g25540
2082,Os01g0358100,LOC_Os01g25560
2083,Os01g0358300,LOC_Os01g25600
2084,Os01g0358400,LOC_Os01g25610
2085,Os01g0358551,None
2086,Os01g0358625,None
2087,Os01g0358700,LOC_Os01g25630
2088,Os01g0358800,None
2089,Os01g0358900,LOC_Os01g25660
2090,Os01g0359400,LOC_Os01g25710
2091,Os01g0359600,LOC_Os01g25740
2092,Os01g0359800,LOC_Os01g25760
2093,Os01g0359900,LOC_Os01g25770
2094,Os01g0360100,LOC_Os01g25810
2095,Os01g0360150,LOC_Os01g25800
2096,Os01g0360175,LOC_Os01g25810
2097,Os01g0360200,LOC_Os01g25820
2098,Os01g0360333,None
2099,Os01g0360466,LOC_Os01g25839
2100,Os01g0360600,LOC_Os01g25880
2101,Os01g0360801,None
2102,Os01g0361000,LOC_Os01g25920
2103,Os01g0361500,LOC_Os01g25990
2104,Os01g0361700,LOC_Os01g26000
2105,Os01g0361800,None
2106,Os01g0362000,LOC_Os01g26020
2107,Os01g0362100,LOC_Os01g26039
2108,Os01g0362150,None
2109,Os01g0362200,None
2110,Os01g0362300,LOC_Os01g26060
2111,Os01g0362400,LOC_Os01g26070
2112,Os01g0362533,None
2113,Os01g0362800,None
2114,Os01g0362900,LOC_Os01g26100
2115,Os01g0363000,None
2116,Os01g0363300,LOC_Os01g26120
2117,Os01g0363500,LOC_Os01g26130
2118,Os01g0363600,None
2119,Os01g0363750,LOC_Os01g26150
2120,Os01g0363900,LOC_Os01g26160
2121,Os01g0363950,None
2122,Os01g0364000,None
2123,Os01g0364100,LOC_Os01g26174
2124,Os01g0364400,LOC_Os01g26210
2125,Os01g0364412,None
2126,Os01g0364424,LOC_Os01g26224
2127,Os01g0364436,LOC_Os01g26224
2128,Os01g0364450,None
2129,Os01g0364800,LOC_Os01g26270
2130,Os01g0364900,LOC_Os01g26290
2131,Os01g0365000,LOC_Os01g26300
2132,Os01g0365201,None
2133,Os01g0365250,None
2134,Os01g0365300,LOC_Os01g26320
2135,Os01g0366100,LOC_Os01g26370
2136,Os01g0366201,None
2137,Os01g0366300,LOC_Os01g26390
2138,Os01g0366400,None
2139,Os01g0366501,None
2140,Os01g0367100,LOC_Os01g26920
2141,Os01g0367201,None
2142,Os01g0367300,LOC_Os01g26940
2143,Os01g0367350,LOC_Os01g26950
2144,Os01g0367400,LOC_Os01g26970
2145,Os01g0367450,None
2146,Os01g0367500,LOC_Os01g26980
2147,Os01g0367601,LOC_Os01g26980
2148,Os01g0367700,LOC_Os01g27020
2149,Os01g0367750,None
2150,Os01g0367800,LOC_Os01g27030
2151,Os01g0367900,LOC_Os01g27040
2152,Os01g0368000,LOC_Os01g27050
2153,Os01g0368500,LOC_Os01g27070
2154,Os01g0368600,None
2155,Os01g0368700,LOC_Os01g27120
2156,Os01g0368900,LOC_Os01g27140
2157,Os01g0369000,LOC_Os01g27150
2158,Os01g0369200,LOC_Os01g27160
2159,Os01g0369300,LOC_Os01g27170
2160,Os01g0369366,LOC_Os01g27160
2161,Os01g0369432,LOC_Os01g27180
2162,Os01g0369500,LOC_Os01g27190
2163,Os01g0369600,None
2164,Os01g0369700,LOC_Os01g27210
2165,Os01g0369800,None
2166,Os01g0369900,LOC_Os01g27230
2167,Os01g0369950,None
2168,Os01g0370000,LOC_Os01g27240
2169,Os01g0370200,LOC_Os01g27260
2170,Os01g0370400,None
2171,Os01g0370600,LOC_Os01g27300
2172,Os01g0370750,None
2173,Os01g0370900,LOC_Os01g27340
2174,Os01g0371200,LOC_Os01g27360
2175,Os01g0371300,None
2176,Os01g0371400,LOC_Os01g27380
2177,Os01g0371500,LOC_Os01g27390
2178,Os01g0372100,LOC_Os01g27449
2179,Os01g0372300,LOC_Os01g27470
2180,Os01g0372350,None
2181,Os01g0372400,LOC_Os01g27480
2182,Os01g0372450,None
2183,Os01g0372500,LOC_Os01g27490
2184,Os01g0372700,LOC_Os01g27520
2185,Os01g0372866,None
2186,Os01g0373033,LOC_Os01g27530
2187,Os01g0373200,LOC_Os01g27570
2188,Os01g0373400,LOC_Os01g27590
2189,Os01g0373500,LOC_Os01g27600
2190,Os01g0373700,None
2191,Os01g0373800,None
2192,Os01g0374000,LOC_Os01g27630
2193,Os01g0374100,None
2194,Os01g0374200,LOC_Os01g27650
2195,Os01g0374301,None
2196,Os01g0374400,LOC_Os01g27680
2197,Os01g0374501,LOC_Os01g27690
2198,Os01g0374600,LOC_Os01g27700
2199,Os01g0374800,LOC_Os01g27710
2200,Os01g0374900,LOC_Os01g27720
2201,Os01g0375000,LOC_Os01g27730
2202,Os01g0375033,None
2203,Os01g0375100,LOC_Os01g27740
2204,Os01g0375200,LOC_Os01g27750
2205,Os01g0375350,LOC_Os01g27760
2206,Os01g0375500,LOC_Os01g27770
2207,Os01g0376200,None
2208,Os01g0376600,LOC_Os01g27860
2209,Os01g0376700,LOC_Os01g27880
2210,Os01g0377000,LOC_Os01g27890
2211,Os01g0377250,None
2212,Os01g0377500,LOC_Os01g27940
2213,Os01g0377700,LOC_Os01g27990
2214,Os01g0377800,LOC_Os01g28000
2215,Os01g0378100,LOC_Os01g28030
2216,Os01g0378400,LOC_Os01g28050
2217,Os01g0378501,None
2218,Os01g0378600,None
2219,Os01g0379001,LOC_Os01g28089
2220,Os01g0379101,LOC_Os01g28134
2221,Os01g0379250,None
2222,Os01g0379400,LOC_Os01g28150
2223,Os01g0379601,None
2224,Os01g0379800,LOC_Os01g28200
2225,Os01g0380000,None
2226,Os01g0380200,LOC_Os01g28230
2227,Os01g0380800,LOC_Os01g28300
2228,Os01g0381325,LOC_Os01g28360
2229,Os01g0381400,None
2230,Os01g0381850,None
2231,Os01g0382000,LOC_Os01g28450
2232,Os01g0382200,LOC_Os01g28474
2233,Os01g0382400,LOC_Os01g28500
2234,Os01g0382450,None
2235,Os01g0382500,LOC_Os01g28510
2236,Os01g0382700,LOC_Os01g28540
2237,Os01g0382800,LOC_Os01g28570
2238,Os01g0382900,LOC_Os01g28580
2239,Os01g0383001,None
2240,Os01g0383100,LOC_Os01g28600
2241,Os01g0383200,None
2242,Os01g0383500,LOC_Os01g28660
2243,Os01g0383600,LOC_Os01g28670
2244,Os01g0383700,LOC_Os01g28680
2245,Os01g0383801,None
2246,Os01g0383900,LOC_Os01g28690
2247,Os01g0384100,LOC_Os01g28710
2248,Os01g0384300,LOC_Os01g28730
2249,Os01g0384375,None
2250,Os01g0384450,LOC_Os01g28744
2251,Os01g0384800,LOC_Os01g28790
2252,Os01g0384901,None
2253,Os01g0385000,LOC_Os01g28810
2254,Os01g0385200,LOC_Os01g28830
2255,Os01g0385300,None
2256,Os01g0385400,LOC_Os01g28840
2257,Os01g0386500,LOC_Os01g28970
2258,Os01g0386600,LOC_Os01g28980
2259,Os01g0386700,LOC_Os01g28989
2260,Os01g0387133,None
2261,Os01g0387566,None
2262,Os01g0387865,None
2263,Os01g0388000,LOC_Os01g29150
2264,Os01g0388200,LOC_Os01g29180
2265,Os01g0388400,None
2266,Os01g0388500,LOC_Os01g29230
2267,Os01g0388700,LOC_Os01g29240
2268,Os01g0389200,LOC_Os01g29280
2269,Os01g0389700,LOC_Os01g29330
2270,Os01g0390300,LOC_Os01g29390
2271,Os01g0390400,LOC_Os01g29409
2272,Os01g0390600,LOC_Os01g29430
2273,Os01g0390900,LOC_Os01g29469
2274,Os01g0391100,None
2275,Os01g0391500,LOC_Os01g29610
2276,Os01g0391600,None
2277,Os01g0391800,None
2278,Os01g0391951,None
2279,Os01g0392100,LOC_Os01g29740
2280,Os01g0392600,LOC_Os01g29804
2281,Os01g0392800,LOC_Os01g29820
2282,Os01g0393000,LOC_Os01g29830
2283,Os01g0393050,None
2284,Os01g0393100,LOC_Os01g29840
2285,Os01g0393200,None
2286,Os01g0393300,LOC_Os01g29860
2287,Os01g0393400,LOC_Os01g29870
2288,Os01g0444100,LOC_Os01g31050
2289,Os01g0495200,LOC_Os01g30970
2290,Os01g0495701,None
2291,Os01g0495900,LOC_Os01g31110
2292,Os01g0496800,LOC_Os01g31210
2293,Os01g0496900,LOC_Os01g31220
2294,Os01g0497400,LOC_Os01g31270
2295,Os01g0497800,LOC_Os01g31350
2296,Os01g0498200,LOC_Os01g31360
2297,Os01g0498300,LOC_Os01g31370
2298,Os01g0498802,None
2299,Os01g0499300,LOC_Os01g31470
2300,Os01g0499350,None
2301,Os01g0499400,LOC_Os01g31480
2302,Os01g0499800,None
2303,Os01g0500100,None
2304,Os01g0500400,None
2305,Os01g0500450,LOC_Os01g31570
2306,Os01g0500500,LOC_Os01g31580
2307,Os01g0500600,None
2308,Os01g0500750,None
2309,Os01g0500825,None
2310,Os01g0500900,LOC_Os01g31610
2311,Os01g0501000,LOC_Os01g31629
2312,Os01g0501400,LOC_Os01g31670
2313,Os01g0501700,LOC_Os01g31680
2314,Os01g0501800,LOC_Os01g31690
2315,Os01g0501850,None
2316,Os01g0501900,LOC_Os01g31700
2317,Os01g0502001,None
2318,Os01g0502101,None
2319,Os01g0502300,LOC_Os01g31760
2320,Os01g0502400,LOC_Os01g31770
2321,Os01g0502700,LOC_Os01g31800
2322,Os01g0502800,LOC_Os01g31810
2323,Os01g0502900,None
2324,Os01g0503100,LOC_Os01g31830
2325,Os01g0503300,LOC_Os01g31850
2326,Os01g0503351,None
2327,Os01g0503400,LOC_Os01g31870
2328,Os01g0504100,LOC_Os01g31940
2329,Os01g0504300,None
2330,Os01g0504500,LOC_Os01g31980
2331,Os01g0504950,LOC_Os01g32090
2332,Os01g0505400,LOC_Os01g32080
2333,Os01g0505500,LOC_Os01g32090
2334,Os01g0505600,LOC_Os01g32120
2335,Os01g0505700,LOC_Os01g32130
2336,Os01g0505866,None
2337,Os01g0505932,None
2338,Os01g0506100,LOC_Os01g32170
2339,Os01g0506200,LOC_Os01g32184
2340,Os01g0506600,None
2341,Os01g0507000,LOC_Os01g32259
2342,Os01g0507150,None
2343,Os01g0507300,LOC_Os01g32280
2344,Os01g0507500,LOC_Os01g32300
2345,Os01g0507700,LOC_Os01g32330
2346,Os01g0507900,LOC_Os01g32350
2347,Os01g0508000,LOC_Os01g32364
2348,Os01g0508050,None
2349,Os01g0508100,LOC_Os01g32380
2350,Os01g0508300,LOC_Os01g32439
2351,Os01g0508500,LOC_Os01g32460
2352,Os01g0509101,None
2353,Os01g0509400,LOC_Os01g32560
2354,Os01g0509700,LOC_Os01g32610
2355,Os01g0509750,None
2356,Os01g0509800,LOC_Os01g32630
2357,Os01g0509900,LOC_Os01g32640
2358,Os01g0510001,None
2359,Os01g0510050,LOC_Os01g32650
2360,Os01g0510100,LOC_Os01g32660
2361,Os01g0510200,LOC_Os01g32670
2362,Os01g0510500,LOC_Os01g32720
2363,Os01g0510600,LOC_Os01g32730
2364,Os01g0510701,None
2365,Os01g0510800,LOC_Os01g32750
2366,Os01g0510901,None
2367,Os01g0511000,LOC_Os01g32770
2368,Os01g0511100,LOC_Os01g32780
2369,Os01g0511200,LOC_Os01g32790
2370,Os01g0511300,LOC_Os01g32800
2371,Os01g0511400,LOC_Os01g32810
2372,Os01g0511600,LOC_Os01g32830
2373,Os01g0511700,LOC_Os01g32840
2374,Os01g0511800,LOC_Os01g32849
2375,Os01g0512100,LOC_Os01g32870
2376,Os01g0512200,LOC_Os01g32880
2377,Os01g0512400,LOC_Os01g32890
2378,Os01g0512700,LOC_Os01g32920
2379,Os01g0512800,LOC_Os01g32930
2380,Os01g0512950,LOC_Os01g32940
2381,Os01g0513100,LOC_Os01g32964
2382,Os01g0513200,LOC_Os01g32980
2383,Os01g0513400,LOC_Os01g33000
2384,Os01g0513500,None
2385,Os01g0513700,LOC_Os01g33020
2386,Os01g0513800,LOC_Os01g33030
2387,Os01g0513850,None
2388,Os01g0513900,LOC_Os01g33040
2389,Os01g0513950,None
2390,Os01g0514000,LOC_Os01g33050
2391,Os01g0514300,LOC_Os01g33060
2392,Os01g0514450,LOC_Os01g33070
2393,Os01g0514600,LOC_Os01g33080
2394,Os01g0514700,LOC_Os01g33090
2395,Os01g0514850,None
2396,Os01g0515001,None
2397,Os01g0515300,LOC_Os01g33110
2398,Os01g0516200,LOC_Os01g33160
2399,Os01g0516300,None
2400,Os01g0516600,LOC_Os01g33204
2401,Os01g0516625,LOC_Os01g33220
2402,Os01g0516650,None
2403,Os01g0516700,LOC_Os01g33230
2404,Os01g0516900,LOC_Os01g33240
2405,Os01g0517150,None
2406,Os01g0517300,None
2407,Os01g0517500,LOC_Os01g33300
2408,Os01g0517800,LOC_Os01g33350
2409,Os01g0517850,LOC_Os01g33360
2410,Os01g0517900,LOC_Os01g33360
2411,Os01g0518000,LOC_Os01g33370
2412,Os01g0518200,LOC_Os01g33390
2413,Os01g0518300,LOC_Os01g33400
2414,Os01g0518400,LOC_Os01g33410
2415,Os01g0518500,LOC_Os01g33420
2416,Os01g0518550,None
2417,Os01g0518601,None
2418,Os01g0518651,None
2419,Os01g0518701,None
2420,Os01g0518800,LOC_Os01g33450
2421,Os01g0519000,LOC_Os01g33480
2422,Os01g0519050,None
2423,Os01g0519100,LOC_Os01g33490
2424,Os01g0519150,None
2425,Os01g0519301,None
2426,Os01g0519400,LOC_Os01g33514
2427,Os01g0519600,LOC_Os01g33530
2428,Os01g0519700,LOC_Os01g33540
2429,Os01g0519860,None
2430,Os01g0520020,None
2431,Os01g0520180,LOC_Os01g33615
2432,Os01g0520260,LOC_Os01g33650
2433,Os01g0520340,None
2434,Os01g0520500,LOC_Os01g33670
2435,Os01g0520600,LOC_Os01g33684
2436,Os01g0520800,LOC_Os01g33710
2437,Os01g0521101,LOC_Os01g33750
2438,Os01g0521200,LOC_Os01g33762
2439,Os01g0521250,LOC_Os01g33764
2440,Os01g0521400,LOC_Os01g33784
2441,Os01g0521500,LOC_Os01g33800
2442,Os01g0521550,None
2443,Os01g0521600,LOC_Os01g33810
2444,Os01g0521800,LOC_Os01g33830
2445,Os01g0522100,LOC_Os01g33869
2446,Os01g0522400,LOC_Os01g33869
2447,Os01g0522600,LOC_Os01g33910
2448,Os01g0522700,LOC_Os01g33920
2449,Os01g0522800,LOC_Os01g33930
2450,Os01g0522950,LOC_Os01g33930
2451,Os01g0523000,None
2452,Os01g0523100,LOC_Os01g33950
2453,Os01g0523250,None
2454,Os01g0523401,None
2455,Os01g0523600,None
2456,Os01g0523800,LOC_Os01g33990
2457,Os01g0524100,LOC_Os01g34010
2458,Os01g0524251,None
2459,Os01g0524400,LOC_Os01g34050
2460,Os01g0524500,LOC_Os01g34060
2461,Os01g0524700,LOC_Os01g34080
2462,Os01g0524850,LOC_Os01g34090
2463,Os01g0525100,LOC_Os01g34100
2464,Os01g0525350,None
2465,Os01g0525500,None
2466,Os01g0525700,None
2467,Os01g0525701,None
2468,Os01g0525800,None
2469,Os01g0526100,LOC_Os01g34190
2470,Os01g0526200,LOC_Os01g34200
2471,Os01g0526550,LOC_Os01g34220
2472,Os01g0526900,LOC_Os01g34270
2473,Os01g0527300,LOC_Os01g34320
2474,Os01g0527400,LOC_Os01g34330
2475,Os01g0527600,LOC_Os01g34350
2476,Os01g0527700,LOC_Os01g34390
2477,Os01g0527801,None
2478,Os01g0527900,LOC_Os01g34400
2479,Os01g0528000,LOC_Os01g34420
2480,Os01g0528300,LOC_Os01g34450
2481,Os01g0528700,LOC_Os01g34470
2482,Os01g0528800,LOC_Os01g34480
2483,Os01g0529101,None
2484,Os01g0529400,LOC_Os01g34530
2485,Os01g0529700,LOC_Os01g34540
2486,Os01g0529800,LOC_Os01g34560
2487,Os01g0530000,LOC_Os01g34580
2488,Os01g0530100,LOC_Os01g34590
2489,Os01g0530200,LOC_Os01g34600
2490,Os01g0530300,LOC_Os01g34610
2491,Os01g0530316,LOC_Os01g34610
2492,Os01g0530341,None
2493,Os01g0530366,LOC_Os01g34614
2494,Os01g0530400,LOC_Os01g34620
2495,Os01g0530450,None
2496,Os01g0530500,LOC_Os01g34630
2497,Os01g0530650,None
2498,Os01g0531000,LOC_Os01g34660
2499,Os01g0531200,LOC_Os01g34670
2500,Os01g0531300,LOC_Os01g34680
2501,Os01g0531400,LOC_Os01g34690
2502,Os01g0531500,LOC_Os01g34700
2503,Os01g0532100,LOC_Os01g34770
2504,Os01g0532200,LOC_Os01g34780
2505,Os01g0532300,LOC_Os01g34790
2506,Os01g0532400,LOC_Os01g34830
2507,Os01g0532600,LOC_Os01g34850
2508,Os01g0532700,LOC_Os01g34860
2509,Os01g0532750,None
2510,Os01g0532800,LOC_Os01g34870
2511,Os01g0533000,LOC_Os01g34880
2512,Os01g0533100,LOC_Os01g34890
2513,Os01g0533250,LOC_Os01g34910
2514,Os01g0533400,LOC_Os01g34920
2515,Os01g0533450,None
2516,Os01g0533500,LOC_Os01g34930
2517,Os01g0533800,None
2518,Os01g0533850,None
2519,Os01g0533900,LOC_Os01g34970
2520,Os01g0534000,LOC_Os01g34980
2521,Os01g0534101,None
2522,Os01g0534200,LOC_Os01g35000
2523,Os01g0534700,LOC_Os01g35030
2524,Os01g0534800,LOC_Os01g35040
2525,Os01g0534900,LOC_Os01g35050
2526,Os01g0535001,None
2527,Os01g0535100,LOC_Os01g35100
2528,Os01g0535300,LOC_Os01g35120
2529,Os01g0535400,LOC_Os01g35160
2530,Os01g0535650,None
2531,Os01g0535900,LOC_Os01g35170
2532,Os01g0536000,LOC_Os01g35184
2533,Os01g0536200,None
2534,Os01g0536400,LOC_Os01g35230
2535,Os01g0536433,None
2536,Os01g0536466,None
2537,Os01g0536501,LOC_Os01g35254
2538,Os01g0536950,LOC_Os01g35300
2539,Os01g0537250,LOC_Os01g35330
2540,Os01g0537701,None
2541,Os01g0538000,LOC_Os01g35580
2542,Os01g0538650,None
2543,Os01g0539300,None
2544,Os01g0539400,LOC_Os01g35789
2545,Os01g0539900,LOC_Os01g35830
2546,Os01g0540000,LOC_Os01g35840
2547,Os01g0540101,None
2548,Os01g0540300,LOC_Os01g35850
2549,Os01g0540400,LOC_Os01g35860
2550,Os01g0540750,None
2551,Os01g0540800,None
2552,Os01g0540900,LOC_Os01g35910
2553,Os01g0541000,LOC_Os01g35930
2554,Os01g0541250,LOC_Os01g35970
2555,Os01g0541500,LOC_Os01g35980
2556,Os01g0541600,LOC_Os01g35990
2557,Os01g0541650,None
2558,Os01g0541800,LOC_Os01g36070
2559,Os01g0541900,LOC_Os01g36080
2560,Os01g0542000,LOC_Os01g36090
2561,Os01g0542100,LOC_Os01g36100
2562,Os01g0542400,LOC_Os01g36130
2563,Os01g0542700,LOC_Os01g36220
2564,Os01g0542900,None
2565,Os01g0543000,LOC_Os01g36229
2566,Os01g0543050,None
2567,Os01g0543100,LOC_Os01g36240
2568,Os01g0543400,LOC_Os01g36270
2569,Os01g0543600,LOC_Os01g36294
2570,Os01g0543800,None
2571,Os01g0544000,LOC_Os01g36330
2572,Os01g0544200,LOC_Os01g36350
2573,Os01g0544325,None
2574,Os01g0544450,LOC_Os01g36390
2575,Os01g0544700,None
2576,Os01g0545100,LOC_Os01g36460
2577,Os01g0545500,LOC_Os01g36500
2578,Os01g0545550,None
2579,Os01g0545600,LOC_Os01g36510
2580,Os01g0545701,LOC_Os01g36510
2581,Os01g0545800,LOC_Os01g36530
2582,Os01g0545900,LOC_Os01g36540
2583,Os01g0546000,LOC_Os01g36550
2584,Os01g0546100,LOC_Os01g36560
2585,Os01g0546250,LOC_Os01g36570
2586,Os01g0546400,LOC_Os01g36580
2587,Os01g0546500,LOC_Os01g36600
2588,Os01g0546700,LOC_Os01g36610
2589,Os01g0546800,LOC_Os01g36620
2590,Os01g0546900,LOC_Os01g36630
2591,Os01g0547000,LOC_Os01g36640
2592,Os01g0547133,LOC_Os01g36660
2593,Os01g0547200,LOC_Os01g36670
2594,Os01g0547400,LOC_Os01g36690
2595,Os01g0547500,LOC_Os01g36710
2596,Os01g0547600,LOC_Os01g36720
2597,Os01g0547732,None
2598,Os01g0547816,None
2599,Os01g0547901,None
2600,Os01g0548000,LOC_Os01g36740
2601,Os01g0548500,None
2602,Os01g0548600,LOC_Os01g36790
2603,Os01g0548750,LOC_Os01g36790
2604,Os01g0548900,LOC_Os01g36820
2605,Os01g0549000,LOC_Os01g36830
2606,Os01g0549100,None
2607,Os01g0549200,LOC_Os01g36840
2608,Os01g0549250,None
2609,Os01g0549300,LOC_Os01g36850
2610,Os01g0549400,LOC_Os01g36860
2611,Os01g0549450,None
2612,Os01g0549500,LOC_Os01g36870
2613,Os01g0549600,None
2614,Os01g0549700,LOC_Os01g36890
2615,Os01g0550000,LOC_Os01g36920
2616,Os01g0550050,None
2617,Os01g0550100,LOC_Os01g36930
2618,Os01g0550200,LOC_Os01g36940
2619,Os01g0550250,None
2620,Os01g0550300,LOC_Os01g36950
2621,Os01g0550375,None
2622,Os01g0550450,None
2623,Os01g0550600,LOC_Os01g36970
2624,Os01g0550701,None
2625,Os01g0550750,None
2626,Os01g0550800,LOC_Os01g37000
2627,Os01g0550850,None
2628,Os01g0550900,LOC_Os01g37020
2629,Os01g0550950,None
2630,Os01g0551000,LOC_Os01g37040
2631,Os01g0551100,LOC_Os01g37050
2632,Os01g0551400,LOC_Os01g37090
2633,Os01g0551600,LOC_Os01g37100
2634,Os01g0551700,LOC_Os01g37100
2635,Os01g0551800,LOC_Os01g37110
2636,Os01g0551900,LOC_Os01g37120
2637,Os01g0552050,None
2638,Os01g0552100,None
2639,Os01g0552300,LOC_Os01g37130
2640,Os01g0552500,None
2641,Os01g0552850,None
2642,Os01g0553200,LOC_Os01g37210
2643,Os01g0553300,None
2644,Os01g0553400,LOC_Os01g37260
2645,Os01g0553600,LOC_Os01g37280
2646,Os01g0553700,LOC_Os01g37310
2647,Os01g0553750,LOC_Os01g37310
2648,Os01g0553800,LOC_Os01g37320
2649,Os01g0553901,LOC_Os01g37325
2650,Os01g0554150,LOC_Os01g37380
2651,Os01g0554400,None
2652,Os01g0555100,LOC_Os01g37460
2653,Os01g0555200,LOC_Os01g37470
2654,Os01g0555300,LOC_Os01g37480
2655,Os01g0555600,LOC_Os01g37490
2656,Os01g0555800,LOC_Os01g37510
2657,Os01g0556001,LOC_Os01g37520
2658,Os01g0556201,None
2659,Os01g0556400,LOC_Os01g37560
2660,Os01g0556650,None
2661,Os01g0556700,LOC_Os01g37590
2662,Os01g0556800,LOC_Os01g37600
2663,Os01g0557000,None
2664,Os01g0557100,LOC_Os01g37630
2665,Os01g0557200,LOC_Os01g37650
2666,Os01g0557300,LOC_Os01g37660
2667,Os01g0557400,LOC_Os01g37670
2668,Os01g0557500,LOC_Os01g37690
2669,Os01g0557550,None
2670,Os01g0557600,LOC_Os01g37700
2671,Os01g0557700,LOC_Os01g37710
2672,Os01g0558100,LOC_Os01g37750
2673,Os01g0558200,LOC_Os01g37760
2674,Os01g0558300,LOC_Os01g37770
2675,Os01g0558500,LOC_Os01g37790
2676,Os01g0558600,LOC_Os01g37800
2677,Os01g0558700,LOC_Os01g37810
2678,Os01g0558800,LOC_Os01g37820
2679,Os01g0558825,None
2680,Os01g0558850,LOC_Os01g37825
2681,Os01g0558900,LOC_Os01g37825
2682,Os01g0559000,LOC_Os01g37832
2683,Os01g0559100,LOC_Os01g37837
2684,Os01g0559150,None
2685,Os01g0559200,LOC_Os01g37842
2686,Os01g0559300,LOC_Os01g37850
2687,Os01g0559450,LOC_Os01g37860
2688,Os01g0559500,LOC_Os01g37870
2689,Os01g0559525,None
2690,Os01g0559550,LOC_Os01g37870
2691,Os01g0559600,LOC_Os01g37910
2692,Os01g0559750,None
2693,Os01g0559825,None
2694,Os01g0559900,LOC_Os01g37950
2695,Os01g0560000,LOC_Os01g37960
2696,Os01g0560100,None
2697,Os01g0560200,LOC_Os01g37980
2698,Os01g0560500,None
2699,Os01g0560900,LOC_Os01g38030
2700,Os01g0561500,LOC_Os01g38100
2701,Os01g0561600,LOC_Os01g38110
2702,Os01g0561700,LOC_Os01g38120
2703,Os01g0561800,None
2704,Os01g0561900,LOC_Os01g38140
2705,Os01g0561950,LOC_Os01g38140
2706,Os01g0562000,None
2707,Os01g0562400,LOC_Os01g38180
2708,Os01g0562450,None
2709,Os01g0562525,None
