gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Os09g0379600,291.4673706,-2.354099945,0.24619178,-9.562057447,1.15E-21,1.10E-19
Os09g0385700,469.7274888,2.719956181,0.214621932,12.67324429,8.32E-37,2.77E-34
Os09g0391800,29.40618154,-2.113478471,0.51690805,-4.088693281,4.34E-05,0.000336646
Os09g0394600,1062.607481,-2.65172224,0.198203491,-13.37878677,8.04E-41,4.04E-38
Os09g0398300,27.73218057,-2.373657936,0.629715601,-3.769412625,0.000163632,0.001064219
Os09g0400400,4341.151981,2.308279338,0.156270598,14.77104051,2.25E-49,1.91E-46
Os09g0403300,736.1072551,-2.597467069,0.309488685,-8.392769089,4.75E-17,2.88E-15
Os09g0409100,7884.591751,-4.995173454,0.453435294,-11.01628725,3.19E-28,5.50E-26
Os09g0414600,56.35387912,-2.649742899,0.676510436,-3.916780523,8.97E-05,0.000632636
Os09g0414701,41.01413736,-3.629069626,0.630604616,-5.754904949,8.67E-09,1.54E-07
Os09g0417800,974.6419333,2.450105,0.426797402,5.740674593,9.43E-09,1.67E-07
Os09g0419600,75.49872179,2.684324575,0.355292391,7.555254891,4.18E-14,1.76E-12
Os09g0433800,639.809135,-3.774233783,0.331534657,-11.38413044,5.02E-30,1.01E-27
Os09g0435700,113.0269586,4.367200211,0.603819732,7.232622555,4.74E-13,1.74E-11
Os09g0443400,61.49858178,-2.176411739,0.488463129,-4.45563157,8.36E-06,7.76E-05
Os09g0444900,1163.576592,3.786506592,0.368611607,10.2723477,9.39E-25,1.20E-22
Os09g0452700,118.79364,-4.293413704,1.223614681,-3.508795516,0.000450141,0.002538325
Os09g0452800,16.57131757,-3.30596212,0.88784041,-3.723599514,0.000196402,0.00124618
Os09g0454600,1331.727682,2.66819771,0.34489269,7.736312741,1.02E-14,4.73E-13
Os09g0458300,23.68354189,2.425336424,0.465073786,5.214949747,1.84E-07,2.52E-06
Os09g0465400,392.7934059,2.038608018,0.298489629,6.829744897,8.51E-12,2.56E-10
Os09g0467300,115.9984904,-2.287972255,0.349760982,-6.541530853,6.09E-11,1.57E-09
Os09g0471550,22.57643595,-2.070005378,0.491284455,-4.213455888,2.51E-05,0.000208131
Os09g0491596,29.71300627,2.998018534,0.63797095,4.69930258,2.61E-06,2.75E-05
Os09g0492900,101.8079263,4.198489752,0.554893852,7.566293508,3.84E-14,1.63E-12
Os09g0493000,247.2734135,3.17944905,0.379166743,8.385358446,5.06E-17,3.04E-15
Os09g0501100,103.58525,2.679156482,0.368325077,7.273891045,3.49E-13,1.30E-11
Os09g0511200,66.37077458,-3.064118328,0.425724663,-7.197417941,6.14E-13,2.22E-11
Os09g0511300,165.2516608,-2.38442523,0.393708619,-6.056319609,1.39E-09,2.89E-08
Os09g0515550,104.2473724,2.438254641,0.327114094,7.453835488,9.07E-14,3.63E-12
Os09g0517200,229.7558217,2.39938884,0.251337273,9.54649029,1.34E-21,1.27E-19
Os09g0518200,7099.697301,4.823876978,0.355235648,13.5793719,5.31E-42,2.97E-39
Os09g0518266,218.6982569,3.857514733,0.41238076,9.354254872,8.42E-21,7.41E-19
Os09g0520200,1582.899444,2.005596514,0.171965367,11.66279323,1.97E-31,4.47E-29
Os09g0526500,37.94267139,2.797627616,0.512615049,5.457560449,4.83E-08,7.39E-07
Os09g0527700,29.1634608,2.324160284,0.383744537,6.056529962,1.39E-09,2.88E-08
Os09g0528000,9.446972795,2.739247663,0.759440122,3.606930401,0.000309841,0.001845473
Os09g0528500,30.25709507,-3.465804157,1.085810446,-3.191905336,0.001413376,0.006678057
Os09g0528700,15.57264685,-2.860509942,0.86083339,-3.322954216,0.000890695,0.004511152
Os09g0547500,488.0880929,2.685456562,0.200024417,13.42564375,4.28E-41,2.23E-38
Os09g0549300,1030.123974,2.840288138,0.302007873,9.404682447,5.22E-21,4.69E-19
Os09g0551201,11.31376063,3.891091168,1.199516158,3.243883912,0.001179118,0.005729187
Os09g0552600,27.49787307,2.938358668,0.552821177,5.31520642,1.07E-07,1.53E-06
Os09g0555550,39.84521727,2.019268446,0.444490772,4.542880466,5.55E-06,5.36E-05
Os09g0555850,5.410008339,-5.522051071,1.786358957,-3.091232616,0.001993274,0.008900785
Os09g0561450,15.678838,-2.595744249,0.824299328,-3.149031137,0.001638127,0.00756986
Os09g0562750,7.478978428,5.97807128,1.38386187,4.319846807,1.56E-05,0.000136334
Os09g0564000,1120.101019,-2.281589305,0.42114998,-5.417522054,6.04E-08,9.08E-07
Os09g0564200,4365.6148,-2.163948008,0.441359974,-4.902909492,9.44E-07,1.10E-05
Os09g0564700,72.38592106,-6.810602607,0.983273449,-6.926458368,4.32E-12,1.38E-10
Os10g0100300,191.5617621,-3.968980586,1.244420002,-3.189422044,0.001425576,0.00672712
Os10g0107000,36.88053743,4.599899288,0.621854126,7.397071272,1.39E-13,5.45E-12
Os10g0111400,13.97095744,-3.004155744,0.919687718,-3.266495447,0.001088876,0.005341491
Os10g0111850,5.537515523,-4.402076015,1.27944743,-3.44060718,0.000580411,0.00316281
Os10g0113000,940.7775677,2.905747239,0.424618301,6.843198304,7.74E-12,2.36E-10
Os10g0113100,439.0289342,3.15540091,0.384553826,8.205355646,2.30E-16,1.30E-14
Os10g0124500,12.45429438,-2.333865015,0.596761168,-3.910886196,9.20E-05,0.000646126
Os10g0130800,147.8744466,-2.008548136,0.510307221,-3.935958684,8.29E-05,0.000590921
Os10g0141050,28.79062642,2.125342873,0.533402459,3.98450145,6.76E-05,0.000495571
Os10g0145000,7.015883878,-3.456317539,0.973301625,-3.551126856,0.000383585,0.002221334
Os10g0161550,22.28489419,-2.490076552,0.601528671,-4.139580822,3.48E-05,0.000276628
Os10g0162840,14.42983793,-3.833558705,0.869712503,-4.407845917,1.04E-05,9.50E-05
Os10g0162842,288.5988287,-3.223420335,0.434622419,-7.41659931,1.20E-13,4.74E-12
Os10g0162844,101.1128057,-3.228976273,0.444961408,-7.256755792,3.96E-13,1.46E-11
Os10g0162980,12.82503506,4.797672306,1.184332771,4.050949552,5.10E-05,0.000388163
Os10g0163370,58.98593795,-4.215952008,0.711136054,-5.928474565,3.06E-09,5.95E-08
Os10g0167200,951.591686,2.092052771,0.192465858,10.86973446,1.61E-27,2.62E-25
Os10g0167250,994.6230033,2.348839919,0.197133168,11.91499095,9.89E-33,2.51E-30
Os10g0169900,46.33779815,-2.996644424,0.642482095,-4.664167992,3.10E-06,3.20E-05
Os10g0171500,61.98781022,2.830805304,0.570076175,4.965661479,6.85E-07,8.21E-06
Os10g0175500,22.21109379,3.84517092,0.831043516,4.626918865,3.71E-06,3.74E-05
Os10g0181200,209.6040717,-2.305080661,0.598135092,-3.853779343,0.000116308,0.000792791
Os10g0181333,12.52416195,-4.941517309,1.337635015,-3.694219464,0.000220563,0.001379987
Os10g0181600,45.12273232,-3.715998409,1.16921974,-3.178186512,0.001481994,0.006954528
Os10g0204400,43.37156559,-2.437392143,0.566886872,-4.299609437,1.71E-05,0.000147745
Os10g0326400,21.55382694,-2.355606172,0.539849351,-4.363450963,1.28E-05,0.000113936
Os10g0327000,7.960645609,-4.107760347,1.025966948,-4.003794035,6.23E-05,0.000462078
Os10g0328100,49.03353324,-2.651117047,0.517818121,-5.119784223,3.06E-07,3.99E-06
Os10g0328600,96.89812103,-2.763149162,0.653259949,-4.229785045,2.34E-05,0.000195164
Os10g0329400,61.4156738,2.480826577,0.333355961,7.441974553,9.92E-14,3.95E-12
Os10g0329900,86.29391456,-2.624172061,0.587334821,-4.46793203,7.90E-06,7.39E-05
Os10g0343400,171.2195732,-4.109276399,0.327679316,-12.54054253,4.48E-36,1.37E-33
Os10g0343951,9.049135649,3.499633246,0.985936901,3.549550933,0.000385889,0.002232492
Os10g0344000,357.4297785,3.618503436,0.386457315,9.363268057,7.73E-21,6.82E-19
Os10g0350800,15.18456151,-2.204658569,0.659865884,-3.341070699,0.00083456,0.004277263
Os10g0362700,30.8627833,-4.158282668,0.693663484,-5.994668546,2.04E-09,4.10E-08
Os10g0365200,2956.558342,3.742481571,0.142110401,26.33502923,7.62E-153,1.13E-148
Os10g0378100,102.6435229,-2.757527826,0.76363879,-3.611036871,0.000304975,0.001820151
Os10g0403800,10.21895115,-5.341667425,1.283702826,-4.161140194,3.17E-05,0.000254601
Os10g0411500,45.64138645,-2.14426818,0.642419852,-3.337798752,0.000844449,0.004319385
Os10g0413700,105.5232816,-2.309625798,0.412404732,-5.600386264,2.14E-08,3.54E-07
Os10g0415100,135.341738,-2.329352326,0.269492606,-8.643473981,5.45E-18,3.67E-16
Os10g0439166,23.27720179,3.66010552,0.651360386,5.619171198,1.92E-08,3.21E-07
Os10g0439200,80.76118918,3.496826055,0.371519166,9.41223595,4.86E-21,4.38E-19
Os10g0439800,38.62449547,-2.590679847,0.627416506,-4.129122877,3.64E-05,0.000288032
Os10g0442466,144.0368685,-2.068977424,0.36675152,-5.641360188,1.69E-08,2.84E-07
Os10g0447400,26.14795525,-2.224895617,0.551701301,-4.032790231,5.51E-05,0.000415971
Os10g0452300,304.7725208,3.232884536,0.383026841,8.440360275,3.16E-17,1.97E-15
Os10g0461100,449.1422133,-2.202376003,0.520870413,-4.228260904,2.36E-05,0.000196324
Os10g0465700,1978.20627,-3.021129353,0.461501731,-6.546301231,5.90E-11,1.53E-09
Os10g0472900,12.09614533,-3.708305425,0.78520162,-4.722742963,2.33E-06,2.48E-05
Os10g0475900,71.03921288,-2.330079193,0.360598192,-6.46170515,1.04E-10,2.58E-09
Os10g0481300,129.5397761,4.457029355,0.427030155,10.43727078,1.68E-25,2.24E-23
Os10g0481500,206.4925288,2.773467165,0.349203968,7.942255586,1.99E-15,9.94E-14
Os10g0490800,1788.213753,2.252256054,0.269543852,8.355805683,6.50E-17,3.86E-15
Os10g0490900,1287.289435,2.463119549,0.220370598,11.17716962,5.27E-29,9.71E-27
Os10g0491000,1283.011315,2.829552332,0.317001901,8.925979066,4.42E-19,3.32E-17
Os10g0498100,563.5500752,-2.936622047,0.222632824,-13.19042714,9.96E-40,4.76E-37
Os10g0498300,36.92077282,-2.970476974,0.72167283,-4.116099222,3.85E-05,0.000302916
Os10g0503250,1260.983701,2.258880466,0.302466749,7.468194361,8.13E-14,3.28E-12
Os10g0503300,538.8596482,2.055947331,0.304043219,6.76202331,1.36E-11,3.95E-10
Os10g0504650,14.01460591,5.518914392,1.30527095,4.2281753,2.36E-05,0.000196344
Os10g0505000,23.71299362,-6.616686428,1.545672818,-4.280780738,1.86E-05,0.000159286
Os10g0505500,162.7716624,3.885679913,0.37270391,10.42564837,1.89E-25,2.49E-23
Os10g0506200,49.42297332,-2.968802018,0.577216763,-5.143305267,2.70E-07,3.57E-06
Os10g0509401,1265.86027,2.985994166,0.244356903,12.21980689,2.44E-34,6.69E-32
Os10g0509600,7.424205441,6.630478986,1.384883692,4.787751508,1.69E-06,1.86E-05
Os10g0514901,27.07243408,4.121538186,0.830929109,4.960156217,7.04E-07,8.43E-06
Os10g0515900,46.3318282,-6.317723042,1.486739674,-4.249380812,2.14E-05,0.000180227
Os10g0516900,489.506812,-2.841346012,0.434883833,-6.533574715,6.42E-11,1.66E-09
Os10g0517500,2785.833851,2.933320615,0.258084909,11.36571923,6.20E-30,1.23E-27
Os10g0520100,302.6540803,2.679820261,0.252708506,10.60439282,2.84E-26,4.07E-24
Os10g0525200,5.947212987,5.557194999,1.501440774,3.701241564,0.000214547,0.001346512
Os10g0525500,132.3243013,2.96716812,0.398928029,7.437853199,1.02E-13,4.07E-12
Os10g0525800,2635.219108,3.062939472,0.319948887,9.57321495,1.04E-21,1.00E-19
Os10g0527400,4783.184239,3.518383351,0.599780047,5.866122709,4.46E-09,8.37E-08
Os10g0527601,1016.624158,2.615094495,0.324991382,8.046657968,8.51E-16,4.43E-14
Os10g0527800,4130.452706,2.788090969,0.33750822,8.260809075,1.45E-16,8.36E-15
Os10g0528100,449.0964431,2.363150469,0.189492318,12.47095654,1.08E-35,3.19E-33
Os10g0528300,13288.56824,5.251363015,0.368247271,14.26042614,3.86E-46,2.93E-43
Os10g0528400,7508.393063,3.239032983,0.413096679,7.840859415,4.47E-15,2.15E-13
Os10g0528651,42.35179123,2.490325607,0.749103544,3.324407722,0.000886066,0.004493077
Os10g0529450,22.45484976,2.196110815,0.458982687,4.784735628,1.71E-06,1.88E-05
Os10g0529700,89.1492735,2.440083477,0.326407039,7.475584727,7.69E-14,3.12E-12
Os10g0529800,278.5662315,2.180204726,0.274859499,7.932069789,2.16E-15,1.08E-13
Os10g0530600,246.1201931,3.392373933,0.964031053,3.518946743,0.000433264,0.00246236
Os10g0530750,88.10149613,2.300578218,0.356025274,6.461839615,1.03E-10,2.58E-09
Os10g0530900,9106.200306,4.312967893,0.344640713,12.51438884,6.23E-36,1.88E-33
Os10g0534400,86.02017161,2.021751455,0.271963747,7.433900567,1.05E-13,4.17E-12
Os10g0535900,46.99817252,2.842887853,0.413058978,6.882522848,5.88E-12,1.84E-10
Os10g0536600,27.46423027,3.414111725,0.677911847,5.036217824,4.75E-07,5.92E-06
Os10g0542750,72.3072877,2.661592226,0.467672372,5.691147014,1.26E-08,2.19E-07
Os10g0542900,3468.749312,2.343781609,0.262681378,8.922526699,4.56E-19,3.41E-17
Os10g0543500,392.6610853,-2.160358504,0.300549322,-7.188033187,6.57E-13,2.36E-11
Os10g0547500,11242.22451,-2.108557488,0.273169005,-7.718875301,1.17E-14,5.39E-13
Os10g0550800,169.5182077,2.123756282,0.325635057,6.521890793,6.94E-11,1.78E-09
Os10g0551700,3.331011172,5.446034236,1.761112632,3.0923827,0.001985567,0.008875173
Os10g0566200,22.10645218,-2.737257127,0.667202686,-4.102587092,4.09E-05,0.000319726
Os10g0566400,190.8235312,2.192152011,0.267118381,8.206668517,2.27E-16,1.28E-14
Os10g0568900,1612.237658,3.91410033,0.362426088,10.79972016,3.45E-27,5.41E-25
Os10g0570200,60.84510739,2.257654867,0.492988826,4.579525435,4.66E-06,4.59E-05
Os11g0116400,19.60466897,-2.791383558,0.91192838,-3.060967965,0.002206227,0.009683357
Os11g0116600,23.80998543,-2.315969416,0.649430894,-3.566152205,0.000362261,0.002110626
Os11g0127800,37.61633474,-3.38193096,1.02179237,-3.309802519,0.000933618,0.004692468
Os11g0134600,20.47404546,3.075746704,0.927874976,3.314828811,0.000916993,0.004620658
Os11g0144900,525.252585,2.194903986,0.209757396,10.46401238,1.26E-25,1.73E-23
Os11g0147150,218.1786873,2.761672615,0.239118244,11.54940155,7.43E-31,1.59E-28
Os11g0156000,150.6029572,3.274369307,0.424377455,7.715700425,1.20E-14,5.50E-13
Os11g0156050,7.006375598,6.517692017,1.487215957,4.38247854,1.17E-05,0.000105507
Os11g0160300,29.42456194,-2.508443298,0.508643402,-4.931634398,8.15E-07,9.63E-06
Os11g0167600,13.3776607,3.587477219,0.728243504,4.926205589,8.38E-07,9.87E-06
Os11g0171300,5096.527393,-3.968980405,1.183854824,-3.352590473,0.000800591,0.004131739
Os11g0182200,2957.723787,2.496219251,0.260256928,9.591365245,8.69E-22,8.48E-20
Os11g0186500,26.65114413,-3.46510318,1.091091977,-3.17581217,0.001494177,0.007002905
Os11g0187500,27.77060628,-3.144608941,0.479417371,-6.559230289,5.41E-11,1.42E-09
Os11g0205300,26.78060119,-5.459387911,0.845108006,-6.459988392,1.05E-10,2.60E-09
Os11g0210201,447.3144647,2.04867137,0.27389018,7.479900768,7.44E-14,3.04E-12
Os11g0236932,175.0830874,3.102807081,0.343314566,9.037796199,1.60E-19,1.26E-17
Os11g0242300,14.21838257,2.281491907,0.65916353,3.461192564,0.000537788,0.002964334
Os11g0242400,97.05451877,-2.273325735,0.674321467,-3.371278903,0.000748201,0.003906933
Os11g0245200,1679.259426,-2.358750814,0.2181151,-10.81424812,2.95E-27,4.67E-25
Os11g0255500,8570.711873,3.878023299,0.259099419,14.96731762,1.20E-50,1.08E-47
Os11g0256900,982.6549638,-2.876020509,0.445265752,-6.45911008,1.05E-10,2.61E-09
Os11g0274100,804.5385187,-3.300861244,0.464186555,-7.111066037,1.15E-12,4.00E-11
Os11g0274166,101.3671296,-3.435556543,0.535796735,-6.412052037,1.44E-10,3.49E-09
Os11g0274700,873.143391,-3.439588163,0.321686934,-10.69234649,1.11E-26,1.65E-24
Os11g0294800,187.9457583,-2.300279489,0.655504783,-3.509172701,0.000449503,0.002535941
Os11g0305400,43.69476136,-6.217559087,0.862109628,-7.212028359,5.51E-13,2.00E-11
Os11g0306300,12.30445868,-5.045864466,1.038012793,-4.861081191,1.17E-06,1.33E-05
Os11g0306400,34.17900642,-5.29664894,0.912662903,-5.80351072,6.49E-09,1.18E-07
Os11g0420200,17.18499164,-2.323843821,0.723959424,-3.209908932,0.00132777,0.006340274
Os11g0426400,1457.556681,-2.883204832,0.361614385,-7.973147498,1.55E-15,7.85E-14
Os11g0431400,267.7016493,-2.955056319,0.349395641,-8.457622165,2.73E-17,1.71E-15
Os11g0441550,26.78060119,-5.459387911,0.845108006,-6.459988392,1.05E-10,2.60E-09
Os11g0444700,1190.536355,-2.691137421,0.654879795,-4.109360893,3.97E-05,0.000311149
Os11g0444800,27.57143374,-3.087227943,0.858090622,-3.597787766,0.000320935,0.001904285
Os11g0444900,344.2094926,-2.937942586,0.587555017,-5.000285082,5.72E-07,7.00E-06
Os11g0461000,5.068375279,-5.733671743,1.41629402,-4.048362603,5.16E-05,0.000391839
Os11g0491850,9.908892863,3.634242306,0.91262326,3.982193381,6.83E-05,0.000499545
Os11g0495400,47.36131147,3.059337121,0.905165856,3.37986359,0.000725218,0.003809741
Os11g0529900,96.552874,-3.033730882,0.300489329,-10.09596876,5.76E-24,6.88E-22
Os11g0534300,14.49855355,-2.707135388,0.718382006,-3.768378611,0.000164311,0.001068168
Os11g0539700,52.65818793,-3.040609641,0.490961088,-6.193178474,5.90E-10,1.30E-08
Os11g0546600,153.3420299,2.948998112,0.420091915,7.019887809,2.22E-12,7.40E-11
Os11g0552000,794.913766,2.290924451,0.23997534,9.546499449,1.34E-21,1.27E-19
Os11g0555600,87.1466161,-2.291844357,0.33027547,-6.939190366,3.94E-12,1.27E-10
Os11g0555866,26.17063809,-2.109813485,0.540264405,-3.905149897,9.42E-05,0.000659926
Os11g0561100,43.11321488,-2.264012558,0.447243483,-5.06214768,4.15E-07,5.25E-06
Os11g0590700,499.9570201,2.650821094,0.247954206,10.69076883,1.12E-26,1.67E-24
Os11g0592000,3667.592531,3.254813498,0.264404269,12.30998845,8.00E-35,2.26E-32
Os11g0592100,5308.887095,2.646527912,0.32264458,8.202610792,2.35E-16,1.32E-14
Os11g0600500,33.28283271,2.952958934,0.496996984,5.941603322,2.82E-09,5.53E-08
Os11g0616100,79.31104479,-3.433744569,0.492858314,-6.967001417,3.24E-12,1.05E-10
Os11g0622700,100.5873433,-4.16824118,0.54297218,-7.676712241,1.63E-14,7.32E-13
Os11g0622800,341.5063238,-4.014386583,0.443460358,-9.052413626,1.40E-19,1.11E-17
Os11g0640000,18.31130774,-2.252462053,0.483196303,-4.661587924,3.14E-06,3.23E-05
Os11g0645400,373.1096828,3.206474845,0.477271746,6.718342061,1.84E-11,5.25E-10
Os11g0649801,160.211116,2.763797465,0.654800138,4.220826026,2.43E-05,0.000202288
Os11g0649900,707.9888449,2.997866027,0.324758913,9.231050821,2.68E-20,2.28E-18
Os11g0650700,707.9888449,2.997866027,0.324758913,9.231050821,2.68E-20,2.28E-18
Os11g0664000,24.97261385,-2.516701583,0.626004255,-4.020262745,5.81E-05,0.000435617
Os11g0666100,5.875485878,-4.917058383,1.386619946,-3.546075041,0.000391015,0.002257741
Os11g0676100,56.46848455,-2.013450779,0.57851417,-3.480382821,0.000500698,0.002789454
Os11g0696400,4.078044173,5.476606206,1.533983446,3.570185989,0.000356728,0.002082892
Os11g0700900,135.1622428,2.166108409,0.329455942,6.574804496,4.87E-11,1.29E-09
Os11g0701200,68.90639623,2.501900265,0.415537838,6.02087232,1.73E-09,3.53E-08
Os11g0702250,22.30653959,3.340865854,0.948997974,3.520414106,0.000430874,0.002451596
Os11g0702400,429.8253377,3.631206578,0.394179332,9.212067403,3.20E-20,2.67E-18
Os12g0114000,187.4954795,2.767697698,0.235511495,11.75185821,6.91E-32,1.64E-29
Os12g0123500,38.24612774,-2.28176725,0.62023111,-3.678898417,0.000234244,0.001454528
Os12g0130200,14.69743775,-2.902713194,0.938589247,-3.092634189,0.001983885,0.008873066
Os12g0131200,57.85469465,2.056141629,0.325341636,6.319946184,2.62E-10,6.07E-09
Os12g0132400,237.785086,2.016630036,0.39702498,5.079353032,3.79E-07,4.83E-06
Os12g0133100,240.3727584,2.354608725,0.25540007,9.219295542,2.99E-20,2.51E-18
Os12g0137700,203.281228,-2.15622034,0.334604693,-6.444082784,1.16E-10,2.87E-09
Os12g0140050,13.0639778,2.128432166,0.686901054,3.098600815,0.001944368,0.008717309
Os12g0141000,107.1143369,3.229583843,0.354874225,9.100643594,8.98E-20,7.19E-18
Os12g0145100,1473.449431,2.096480383,0.214770199,9.761505036,1.65E-22,1.76E-20
Os12g0154700,559.3386183,3.253950192,0.17366773,18.73664263,2.49E-78,8.20E-75
Os12g0154800,187.4764044,3.554111464,0.343311584,10.35243676,4.08E-25,5.30E-23
Os12g0154900,282.5710575,2.658032914,0.254201608,10.45639694,1.37E-25,1.87E-23
Os12g0155000,163.4427865,2.543885615,0.28409134,8.954463773,3.41E-19,2.59E-17
Os12g0156100,35.92629086,2.561097679,0.497753247,5.145315869,2.67E-07,3.54E-06
Os12g0157000,127.4918728,2.693092271,0.40104459,6.715194121,1.88E-11,5.36E-10
Os12g0157066,114.19401,2.666058921,0.388180828,6.868085004,6.51E-12,2.02E-10
Os12g0158600,846.3598169,2.021979204,0.210676676,9.59754656,8.19E-22,8.01E-20
Os12g0161100,176.6722553,2.078521701,0.370302914,5.613030902,1.99E-08,3.32E-07
Os12g0168150,8.094876396,4.048394331,1.246953866,3.246627193,0.001167813,0.005680774
Os12g0177200,50.81468172,-4.658636038,0.873220188,-5.335007258,9.55E-08,1.38E-06
Os12g0181701,24.7486327,-21.39413286,3.909772213,-5.471964015,4.45E-08,6.85E-07
Os12g0204100,50.59802439,-2.99362179,0.468376261,-6.391489147,1.64E-10,3.95E-09
Os12g0221501,62.72671205,2.193973664,0.33700681,6.510176053,7.51E-11,1.92E-09
Os12g0228650,49.32828122,-2.271936024,0.590140396,-3.849822924,0.000118203,0.000803121
Os12g0228700,176.6300273,-2.573401888,0.550752324,-4.67252116,2.98E-06,3.08E-05
Os12g0239300,20.52299833,5.762905331,0.927995204,6.210059387,5.30E-10,1.18E-08
Os12g0245700,26.76470255,2.256179176,0.495434606,4.553939403,5.27E-06,5.13E-05
Os12g0258700,3512.385576,4.292449633,0.124613878,34.4459999,5.17E-260,1.53E-255
Os12g0263200,60.85098257,-2.325307671,0.520851353,-4.464436271,8.03E-06,7.48E-05
Os12g0267800,384.627238,-2.266956518,0.326033882,-6.953131698,3.57E-12,1.15E-10
Os12g0434400,238.0126803,2.452381497,0.313660723,7.818580142,5.34E-15,2.54E-13
Os12g0437800,4970.868372,2.607895166,0.434151322,6.006880628,1.89E-09,3.83E-08
Os12g0455000,1526.566061,2.184625085,0.399222762,5.472195712,4.44E-08,6.84E-07
Os12g0456700,23.77448016,-3.945557029,0.70298502,-5.612576255,1.99E-08,3.32E-07
Os12g0456783,12.96215446,-3.466270892,0.709307997,-4.886834646,1.02E-06,1.18E-05
Os12g0470000,13.00257159,-3.957307945,1.043134721,-3.793669087,0.000148437,0.000980018
Os12g0470700,212.846226,2.63039872,0.193361395,13.60353608,3.82E-42,2.18E-39
Os12g0491800,97.08355867,-2.338971074,0.531462972,-4.401004769,1.08E-05,9.78E-05
Os12g0499700,96.65704441,-2.391487261,0.449586795,-5.319300493,1.04E-07,1.50E-06
Os12g0527301,98.9982956,-2.635926173,0.533785549,-4.938174475,7.89E-07,9.35E-06
Os12g0527500,25.71040156,-3.158233952,0.554604379,-5.694570893,1.24E-08,2.15E-07
Os12g0555400,63.49514928,-2.622782215,0.604928364,-4.335690593,1.45E-05,0.000127777
Os12g0559200,71.47346317,-3.458685008,0.987128108,-3.503785355,0.000458695,0.002582141
Os12g0561750,3.151964892,-5.399733832,1.646819361,-3.278886536,0.001042175,0.005158498
Os12g0567300,1083.761259,-2.273456,0.231922011,-9.802674557,1.10E-22,1.20E-20
Os12g0568100,75.74410024,-2.056988247,0.34402354,-5.979207842,2.24E-09,4.46E-08
Os12g0589000,16.62964636,2.350267411,0.607251027,3.87033913,0.000108684,0.000745794
Os12g0604000,33.27858337,-2.058719183,0.517363172,-3.979253445,6.91E-05,0.000504393
Os12g0614500,215.5584293,2.66472333,0.397165373,6.709354614,1.95E-11,5.55E-10
Os12g0616800,61.04942955,-4.519924723,0.669621148,-6.749973085,1.48E-11,4.27E-10
Os12g0617250,190.0615862,2.48352015,0.412089179,6.026657028,1.67E-09,3.41E-08
Os12g0622850,45.14172278,-4.192795095,0.78365746,-5.350290543,8.78E-08,1.28E-06
Os12g0624300,47.48289077,2.261679008,0.411224901,5.499859083,3.80E-08,5.94E-07
Os12g0626500,4.989418533,3.643523462,1.148924696,3.171246535,0.001517863,0.007094847
Os12g0639400,27.18035073,2.126996781,0.57879874,3.674846947,0.000237992,0.001473307
Os12g0639500,453.8363729,2.022051295,0.205705985,9.829812663,8.38E-23,9.37E-21
