gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Os07g0104750,121.6615658,2.480419949,0.249686922,9.934120433,2.96E-23,3.35E-21
Os07g0116600,421.7545891,-2.148530424,0.395855152,-5.427567157,5.71E-08,8.64E-07
Os07g0119600,18.02939896,-2.881301212,0.704974439,-4.087100261,4.37E-05,0.000338433
Os07g0121100,19.5215732,2.112831572,0.588367551,3.591006282,0.000329404,0.001946266
Os07g0142700,3671.777963,2.176003479,0.319758248,6.805151985,1.01E-11,3.00E-10
Os07g0152200,20.10851982,7.045142968,1.317347936,5.347974346,8.89E-08,1.29E-06
Os07g0157000,20.72193362,7.38697914,1.269636738,5.818183201,5.95E-09,1.09E-07
Os07g0163200,11.12921666,-2.396674606,0.740841553,-3.235070437,0.001216127,0.005888742
Os07g0167500,76.27809042,3.631692749,0.343066545,10.58597174,3.46E-26,4.93E-24
Os07g0170000,559.5752715,3.95296328,0.28325285,13.95559932,2.91E-44,1.87E-41
Os07g0196200,64.32948003,-3.279279731,0.824647531,-3.976583461,6.99E-05,0.000509138
Os07g0196300,32.70089477,-2.499206962,0.437954193,-5.706548768,1.15E-08,2.01E-07
Os07g0197500,4.286339551,-5.975858695,1.674848214,-3.568000159,0.000359716,0.002097861
Os07g0206600,48.23482147,-3.90265688,0.711499108,-5.485118444,4.13E-08,6.40E-07
Os07g0209100,1718.721191,2.135570548,0.332927392,6.414523414,1.41E-10,3.44E-09
Os07g0211601,28.33676736,-3.086366056,0.785480797,-3.929269903,8.52E-05,0.000605415
Os07g0211700,29.32004752,-2.42516723,0.56279031,-4.309184411,1.64E-05,0.000141988
Os07g0214900,56.53309069,-3.482231986,0.92408209,-3.768314552,0.000164354,0.001068208
Os07g0225300,2241.984867,2.467193602,0.188065284,13.11881464,2.57E-39,1.10E-36
Os07g0241500,136.6520343,2.696090995,0.495630526,5.439719419,5.34E-08,8.12E-07
Os07g0241751,250.781366,2.282885433,0.387943411,5.884583598,3.99E-09,7.56E-08
Os07g0244100,12.9382281,3.343689521,0.797066771,4.194992994,2.73E-05,0.000223667
Os07g0245100,2149.3215,2.340374216,0.167198584,13.99757201,1.61E-44,1.09E-41
Os07g0281900,14.72482722,3.136710425,0.689502383,4.549237973,5.38E-06,5.22E-05
Os07g0296000,116.860041,2.226282733,0.259421137,8.581732222,9.35E-18,6.14E-16
Os07g0409500,21.24391946,2.886325397,0.604299773,4.776313884,1.79E-06,1.95E-05
Os07g0410300,246.8041947,2.107723338,0.438116427,4.810874939,1.50E-06,1.67E-05
Os07g0418500,366.0356104,3.158699859,0.291235631,10.8458565,2.09E-27,3.34E-25
Os07g0445800,15.59344188,3.052441098,0.630035089,4.844874754,1.27E-06,1.43E-05
Os07g0449700,6.551458398,6.592474342,1.443574515,4.566771077,4.95E-06,4.84E-05
Os07g0451201,20.61796512,-7.255649896,1.338938117,-5.418958357,5.99E-08,9.03E-07
